id_text,designation,parsed_sender,parsed_sender_kind,parsed_addressee,parsed_addressee_kind,cat_sender,cat_recipient,sender_agree,addressee_agree
P271081,EA 079,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271147,EA 080,,none,,none,[missing],[an Egyptian pharaoh],,
P271033,EA 081,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270970,EA 082,Rib-Addi,name,Amon-appa,name,Rib-Hadda of Byblos,"Amanappa, an Egyptian official",True,True
P270900,EA 083,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271080,EA 084,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271073,EA 085,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270907,EA 086,Rib-Addi,name,Amon-appa,name,Rib-Hadda of Byblos,"Amanappa, an Egyptian official",True,True
P270908,EA 087,Rib-Addi,name,Amon-appa,name,Rib-Hadda of Byblos,"Amanappa, an Egyptian official",True,True
P270903,EA 088,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271074,EA 089,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271105,EA 090,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271218,EA 091,Rib-Addi,name,,none,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,
P271217,EA 092,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271106,EA 093,Rib-Addi,name,Amon-appa,name,Rib-Hadda of Byblos,"Amanappa, an Egyptian official",True,True
P270986,EA 094,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P271111,EA 095,Rib-Addi,name,,none,Rib-Hadda of Byblos,[an Egyptian official],True,
P271030,EA 096,,none,Rib-Addi,name,[an Egyptian general],Rib-Hadda of Byblos,,True
P271055,EA 097,Yapaʾ-BaʿluORHaddu,name,Šum-Haddu,name,"Yappah-Hadda, mayor of Beirut","Šumu-Haddi, a mayor",True,True
P271118,EA 098,Yapaʾ-Haddi,name,Yanḥamu,name,"Yappah-Hadda, mayor of Beirut","Yanhamu, the Egyptian commissioner",True,True
P270974,EA 099,PHARAOH,pharaoh,x-aṣmanu,name,[an Egyptian pharaoh],[missing],True,
P270927,EA 100,king of Irqata,king-of-GN,PHARAOH,pharaoh,the city of Irqata,[an Egyptian pharaoh],True,True
P270929,EA 101,,none,,none,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,
P270909,EA 102,Rib-Addi,name,Yanḥamu,name,Rib-Hadda of Byblos,"[Yanhamu, the Egyptian commissioner]",True,True
P271029,EA 103,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270981,EA 104,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271075,EA 105,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271206,EA 106,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271208,EA 107,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271207,EA 108,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P271076,EA 109,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271109,EA 110,Rib-Addi,name,PHARAOH,pharaoh,[missing],[an Egyptian pharaoh],,True
P271078,EA 111,Rib-Addi,name,PHARAOH,pharaoh,[Rib-Hadda of Byblos],[an Egyptian pharaoh],True,True
P271107,EA 112,,none,PHARAOH,pharaoh,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,True
P270983,EA 113,,none,,none,[missing],[an Egyptian pharaoh],,
P270899,EA 114,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P271077,EA 115,,none,,none,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,
P270982,EA 116,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P271211,EA 117,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P270886,EA 118,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271210,EA 119,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P271083,EA 120,,none,,none,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,
P271108,EA 121,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P271072,EA 122,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P270906,EA 123,,none,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],,True
P270985,EA 124,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270905,EA 125,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271028,EA 126,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271129,EA 127,Rib-Addi,name,PHARAOH,pharaoh,[Rib-Hadda of Byblos],[an Egyptian pharaoh],True,True
P271167,EA 128,,none,,none,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,
P271084,EA 129,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271071,EA 130,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270910,EA 131,,none,,none,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,
P270904,EA 132,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271110,EA 133,,none,,none,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,
P270984,EA 134,,none,Gublu,collective,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,False
P270879,EA 135,,none,Ṣumur,collective,[Rib-Hadda of Byblos],[an Egyptian pharaoh],,False
P270902,EA 136,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271021,EA 137,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271212,EA 138,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270930,EA 139,ʾIli-rapiʾ,name,PHARAOH,pharaoh,Ili-rapih of Byblos,[an Egyptian pharaoh],True,True
P271085,EA 140,ʾIli-rapiʾ,name,PHARAOH,pharaoh,Ili-rapih of Byblos,[an Egyptian pharaoh],True,True
P270911,EA 141,ʿAmmu-nira,name,PHARAOH,pharaoh,Ammunira of Beirut,[an Egyptian pharaoh],True,True
P270912,EA 142,ʿAmmu-nira,name,PHARAOH,pharaoh,Ammunira of Beirut,[an Egyptian pharaoh],True,True
P271043,EA 143,ʿAmmu-nira,name,PHARAOH,pharaoh,Ammunira of Beirut,[an Egyptian pharaoh],True,True
P271185,EA 144,Zimri-Haddu,name,PHARAOH,pharaoh,Zimreddi of Sidon,[an Egyptian pharaoh],True,True
P271136,EA 145,Zimri-Haddu,name,X-tti,name,Zimreddi of Sidon,[missing],True,
P271166,EA 146,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P270914,EA 147,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P270994,EA 148,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P270913,EA 149,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P270995,EA 150,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P270915,EA 151,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P271155,EA 152,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P271025,EA 153,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P271154,EA 154,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P270916,EA 155,ʾAbi-Milki,name,PHARAOH,pharaoh,Abi-Milku of Tyre,[an Egyptian pharaoh],True,True
P271199,EA 156,ʿAḏiri,name,PHARAOH,pharaoh,Aziru of Amurru,[an Egyptian pharaoh],True,True
P271216,EA 157,ʿAḏiri,name,PHARAOH,pharaoh,Aziru of Amurru,[an Egyptian pharaoh],True,True
P270988,EA 158,ʿAḏiri,name,Tutu,name,Aziru of Amurru,"Tutu, an Egyptian official",True,True
P271102,EA 159,ʿAḏiri,name,PHARAOH,pharaoh,Aziru of Amurru,[an Egyptian pharaoh],True,True
P271022,EA 160,ʿAḏiri,name,PHARAOH,pharaoh,Aziru of Amurru,[an Egyptian pharaoh],True,True
P270920,EA 161,ʿAḏiri,name,PHARAOH,pharaoh,Aziru of Amurru,[an Egyptian pharaoh],True,True
P271209,EA 162,king of Gublu,king-of-GN,ʿAḏiri,name,[an Egyptian pharaoh],Aziru of Amurru,False,True
P271174,EA 163,,none,,none,[Aziru of Amurru],[an Egyptian pharaoh],,
P271182,EA 164,ʿAḏiri,name,Tutu,name,Aziru of Amurru,"Tutu, an Egyptian official",True,True
P271187,EA 165,ʿAḏiri,name,PHARAOH,pharaoh,Aziru of Amurru,[an Egyptian pharaoh],True,True
P271183,EA 166,ʿAḏiri,name,Haya,name,Aziru of Amurru,"Haay, an Egyptian official",True,True
P271188,EA 167,ʿAḏiri,name,Tutu,name,[Aziru of Amurru],"[Tutu, an Egyptian official]",True,True
P271103,EA 168,ʿAḏiri,name,PHARAOH,pharaoh,Aziru of Amurru,[an Egyptian pharaoh],True,True
P271104,EA 169,,none,PHARAOH,pharaoh,[DU-Teššup of Amurru],"Tutu, an Egyptian official",,False
