id_text,designation,parsed_sender,parsed_sender_kind,parsed_addressee,parsed_addressee_kind,cat_sender,cat_recipient,sender_agree,addressee_agree
P271014,EA 225,Šum-Haddu,name,PHARAOH,pharaoh,"Šum-Adda, mayor of Šamhuna",[an Egyptian pharaoh],True,True
P271066,EA 226,Ṯipṭu-ri-ZA,name,PHARAOH,pharaoh,"Šipṭu-Riṣa, a mayor(?)",[an Egyptian pharaoh],True,True
P270932,EA 227,king of Haṣura,king-of-GN,PHARAOH,pharaoh,"ʿAbdi-Tirši, king of Hazor",[an Egyptian pharaoh],True,True
P270933,EA 228,ʿAbdi-Tirši,name,PHARAOH,pharaoh,"ʿAbdi-Tirši, king of Hazor",[an Egyptian pharaoh],True,True
P271131,EA 229,ʿAbdi-Na-x,name,PHARAOH,pharaoh,ʿAbdina of Gimtu,[an Egyptian pharaoh],,True
P270968,EA 230,Maya,name,PHARAOH,pharaoh,"Yama, a mayor(?)",[an Egyptian pharaoh],False,True
P271056,EA 231,,none,PHARAOH,pharaoh,[missing],[an Egyptian pharaoh],,True
P271086,EA 232,Surata,name,PHARAOH,pharaoh,Surata of Akka,[an Egyptian pharaoh],True,True
P270996,EA 233,Satatna,name,PHARAOH,pharaoh,Satatna of Akka,[an Egyptian pharaoh],True,True
P271087,EA 234,Satatna,name,PHARAOH,pharaoh,Satatna of Akka,[an Egyptian pharaoh],True,True
P270917,EA 235 (+) EA 327,Satatna,name,PHARAOH,pharaoh,Satatna of Akka,[an Egyptian pharaoh],True,True
P270881,EA 236,,none,,none,[missing],[missing],,
P271141,EA 237,,none,,none,"Bayadi, a mayor in Syria(?)",[an Egyptian pharaoh],,
P271163,EA 238,Bayadi,name,,none,"Bayadi, a mayor in Syria(?)",[an Egyptian official],True,
P271196,EA 239,Baduzana,name,PHARAOH,pharaoh,"Baduzana, mayor in Syria(?)",[an Egyptian pharaoh],True,True
P271180,EA 240,,none,PHARAOH,pharaoh,[missing],[missing],,
P271121,EA 241,Ruṣmanya,name,PHARAOH,pharaoh,Rusmanya of Šaruna,[an Egyptian pharaoh],True,True
P271113,EA 242,Biridiya,name,PHARAOH,pharaoh,Biridiya of Megiddo,[an Egyptian pharaoh],True,True
P271112,EA 243,Biridiya,name,PHARAOH,pharaoh,Biridiya of Megiddo,[an Egyptian pharaoh],True,True
P270997,EA 244,Biridiya,name,PHARAOH,pharaoh,Biridiya of Megiddo,[an Egyptian pharaoh],True,True
P270957,EA 245,,none,,none,Biridiya of Megiddo,[an Egyptian pharaoh],,
P271095,EA 246,Biridiya,name,PHARAOH,pharaoh,Biridiya of Megiddo,[an Egyptian pharaoh],True,True
P271017,EA 247,Biridiya,name,PHARAOH,pharaoh,[Biridiya of Megiddo],[an Egyptian pharaoh],True,True
P270944,EA 248,Yašdata,name,PHARAOH,pharaoh,"Yašdata, a mayor(?)",[an Egyptian pharaoh],True,True
P271059,EA 249,Baʿlu-UR.SAG,name,PHARAOH,pharaoh,"Baʿlu-UR.SAG, a mayor in Palestine",[an Egyptian pharaoh],True,True
P270998,EA 250,Baʿlu-UR.SAG,name,PHARAOH,pharaoh,"Baʿlu-UR.SAG, a mayor in Palestine",[an Egyptian pharaoh],True,True
P270964,EA 251,,none,,none,[missing],[an Egyptian pharaoh],,
P270946,EA 252,Labʾaya,name,PHARAOH,pharaoh,"Labʾayu, mayor of Šakmu",[an Egyptian pharaoh],True,True
P271047,EA 253,Labʾaya,name,PHARAOH,pharaoh,"Labʾayu, mayor of Šakmu",[an Egyptian pharaoh],True,True
P271197,EA 254,Labʾaya,name,PHARAOH,pharaoh,"Labʾayu, mayor of Šakmu",[an Egyptian pharaoh],True,True
P271195,EA 255,Mut-Baʿli,name,PHARAOH,pharaoh,"Mur-Bahlu, mayor of Pihilu",[an Egyptian pharaoh],True,True
P270949,EA 256,Mut-Baʿli,name,Yanḥamu,name,"Mur-Bahlu, mayor of Pihilu","Yanhamu, the Egyptian commissioner",True,True
P271151,EA 257,Baʿlu-meher,name,PHARAOH,pharaoh,"Baʿlu-mehir, a mayor in Palestine",[an Egyptian pharaoh],True,True
P271191,EA 258,Baʿlu-meher,name,PHARAOH,pharaoh,"Baʿlu-mehir, a mayor in Palestine",[an Egyptian pharaoh],True,True
P271041,EA 259,Baʿlu-meher,name,PHARAOH,pharaoh,"Baʿlu-mehir, a mayor in Palestine",[an Egyptian pharaoh],True,True
P271027,EA 260,,none,Baʿlu-Mer,name,"Baʿlu-mehir, a mayor in Palestine",[an Egyptian pharaoh],,False
P270960,EA 261,Dašru,name,PHARAOH,pharaoh,"Dašru, a mayor in Palestine(?)",[an Egyptian pharaoh],True,True
P271010,EA 262,Dašru,name,PHARAOH,pharaoh,"Dašru, a mayor in Palestine(?)",[an Egyptian pharaoh],True,True
P271130,EA 263,,none,PHARAOH,pharaoh,[missing],[an Egyptian pharaoh],,True
P270955,EA 264,Tagi,name,PHARAOH,pharaoh,"Tagi, mayor of Gintikirmil",[an Egyptian pharaoh],True,True
P271138,EA 265,Tagi,name,PHARAOH,pharaoh,"Tagi, mayor of Gintikirmil",[an Egyptian pharaoh],True,True
P271048,EA 266,Tagi,name,PHARAOH,pharaoh,"Tagi, mayor of Gintikirmil",[an Egyptian pharaoh],True,True
P270999,EA 267,Milki-ʾili,name,PHARAOH,pharaoh,"Milki-ilu, mayor of Gazru",[an Egyptian pharaoh],True,True
P270838,EA 268,Milki-ʾili,name,PHARAOH,pharaoh,"Milki-ilu, mayor of Gazru",[an Egyptian pharaoh],True,True
P270948,EA 269,Milki-ʾili,name,PHARAOH,pharaoh,"Milki-ilu, mayor of Gazru",[an Egyptian pharaoh],True,True
P270947,EA 270,Milki-ʾili,name,PHARAOH,pharaoh,"Milki-ilu, mayor of Gazru",[an Egyptian pharaoh],True,True
P271040,EA 271,Milki-ʾili,name,PHARAOH,pharaoh,"Milki-ilu, mayor of Gazru",[an Egyptian pharaoh],True,True
P270965,EA 272,Baʿlu-ṯipṭi,name,PHARAOH,pharaoh,Šum-[...],[an Egyptian pharaoh],,True
P271128,EA 273,Belet-UR.MAH.MEŠ,name,PHARAOH,pharaoh,"NIN-UR.MAH-MEŠ, a queen mother",[an Egyptian pharaoh],True,True
P271001,EA 274,Belet-UR.MAH.MEŠ,name,PHARAOH,pharaoh,"NIN-UR.MAH-MEŠ, a queen mother",[an Egyptian pharaoh],True,True
P271124,EA 275,Yaʿḏib-Haddu,name,PHARAOH,pharaoh,"Yahzib-Adda, a mayor(?)",[an Egyptian pharaoh],True,True
P271145,EA 276,Yaʿḏib-Haddu,name,PHARAOH,pharaoh,"Yahzib-Adda, a mayor(?)",[an Egyptian pharaoh],True,True
P270966,EA 277,,none,PHARAOH,pharaoh,"[Yahzib-Adda, a mayor(?)]",[an Egyptian pharaoh],,True
P270954,EA 278,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P271093,EA 279,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P271000,EA 280,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P271162,EA 281,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P270953,EA 282,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P271201,EA 283,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P270952,EA 284,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P271057,EA 285,IR₃-Hebat,name,PHARAOH,pharaoh,ʿAbdi-Heba of Jerusalem,[an Egyptian pharaoh],True,True
P271088,EA 286,IR₃-Hebat,name,PHARAOH,pharaoh,ʿAbdi-Heba of Jerusalem,[an Egyptian pharaoh],True,True
P271090,EA 287,IR₃-Hebat,name,PHARAOH,pharaoh,ʿAbdi-Heba of Jerusalem,[an Egyptian pharaoh],True,True
P271089,EA 288,IR₃-Hebat,name,PHARAOH,pharaoh,ʿAbdi-Heba of Jerusalem,[an Egyptian pharaoh],True,True
P271091,EA 289,IR₃-Hebat,name,PHARAOH,pharaoh,ʿAbdi-Heba of Jerusalem,[an Egyptian pharaoh],True,True
P271092,EA 290,IR₃-Hebat,name,PHARAOH,pharaoh,ʿAbdi-Heba of Jerusalem,[an Egyptian pharaoh],True,True
P271149,EA 291,,none,,none,[missing],[an Egyptian pharaoh],,
P270969,EA 292,Baʿlu-ṯipṭi,name,PHARAOH,pharaoh,"Adda-danu, mayor of Gazru",[an Egyptian pharaoh],False,True
P271002,EA 293,Baʿlu-ṯipṭi,name,PHARAOH,pharaoh,"Adda-danu, mayor of Gazru",[an Egyptian pharaoh],False,True
P270956,EA 294,Zimri-Haddu,name,PHARAOH,pharaoh,"Adda-danu(?), mayor of Gazru",[an Egyptian pharaoh],False,True
P271096,EA 295,Baʿlu-ṯipṭi,name,PHARAOH,pharaoh,Baʿlu-Danu of Tyre,[an Egyptian pharaoh],False,True
P270942,EA 296,Yahtiru,name,PHARAOH,pharaoh,"Yahtiru, mayor of Ashdod",[an Egyptian pharaoh],True,True
P270936,EA 297,Yapaʾu,name,PHARAOH,pharaoh,"Yapahu, mayor of Gazru",[an Egyptian pharaoh],True,True
P270935,EA 298,Yapaʾu,name,PHARAOH,pharaoh,"Yapahu, mayor of Gazru",[an Egyptian pharaoh],True,True
P270934,EA 299,Yapaʾu,name,PHARAOH,pharaoh,"Yapahu, mayor of Gazru",[an Egyptian pharaoh],True,True
P271062,EA 300,Yapaʾu,name,PHARAOH,pharaoh,"Yapahu, mayor of Gazru",[an Egyptian pharaoh],True,True
P271008,EA 301,Šubandu,name,PHARAOH,pharaoh,"Yapahu, mayor of Gazru",[an Egyptian pharaoh],False,True
